"Sample","AUC","DoublingTime"
"110",14.5826518033825,8.65883367437785
"111",16.0120542444699,2.0104678309741
"112",17.726274526378,1.53892220049927
"AE2",14.0996554204917,2.07219168536263
"BG2",17.8804886546167,1.29762719769335
"CBS138",15.1187109584917,1.61390364435618
"D1",17.6516691767,1.32621582351229
